epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8,lr/pg9,lr/pg10,lr/pg11
67,86419.2,1.46711,1.7965,0.00981,0.41453,0.33588,0.35149,0.24684,1.34203,2.38889,0.01159,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.00274875,0.00091625,0.010995,0.003665
68,87723.4,1.46198,1.7941,0.00983,0.41755,0.33624,0.35222,0.24746,1.34048,2.38852,0.01156,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00256312,0.000854375,0.0102525,0.0034175
69,88938.7,1.44863,1.77117,0.00977,0.41728,0.33907,0.35347,0.24874,1.33993,2.38478,0.01155,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.0023775,0.0007925,0.00951,0.00317
70,90150.1,1.44847,1.76461,0.00968,0.41923,0.33851,0.35514,0.24999,1.33809,2.38454,0.01154,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00219187,0.000730625,0.0087675,0.0029225
71,91370.2,1.39808,1.6151,0.01066,0.42229,0.33784,0.35528,0.25029,1.33734,2.38405,0.01152,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.00200625,0.00066875,0.008025,0.002675
72,92578.1,1.38957,1.58982,0.01053,0.42838,0.33533,0.35593,0.25096,1.33588,2.38618,0.01147,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00182063,0.000606875,0.0072825,0.0024275
73,93784.7,1.38697,1.58682,0.01036,0.42014,0.33667,0.3562,0.25105,1.33589,2.38617,0.01147,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.001635,0.000545,0.00654,0.00218
74,94990.9,1.38111,1.56552,0.0103,0.41453,0.33837,0.35653,0.25124,1.33536,2.38611,0.01146,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00144938,0.000483125,0.0057975,0.0019325
75,96197.3,1.37704,1.54482,0.01019,0.4262,0.33956,0.35765,0.25225,1.33398,2.38808,0.01143,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.00126375,0.00042125,0.005055,0.001685
76,97408.7,1.37333,1.53712,0.01014,0.42873,0.33893,0.35815,0.25281,1.33229,2.39028,0.01139,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00107812,0.000359375,0.0043125,0.0014375
77,98615.8,1.36221,1.52524,0.00998,0.4263,0.33968,0.35891,0.25331,1.33097,2.39225,0.01136,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.0008925,0.0002975,0.00357,0.00119
78,99823,1.34718,1.50788,0.00998,0.4312,0.33857,0.36005,0.25422,1.33066,2.3935,0.01135,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.000706875,0.000235625,0.0028275,0.0009425
79,101029,1.34816,1.49208,0.00977,0.43083,0.33989,0.36034,0.25434,1.33038,2.39538,0.01134,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.00052125,0.00017375,0.002085,0.000695
80,102265,1.34379,1.48365,0.00966,0.43276,0.33993,0.36083,0.25482,1.32991,2.39746,0.01132,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.000335625,0.000111875,0.0013425,0.0004475
